ProductID,CurrentStock,MinStockLevel,ReorderPoint,LeadTime
TEC-MA-10000073,14,9,14,5
TEC-PH-10000074,32,13,20,7
OFF-FA-10000075,79,6,9,3
OFF-PA-10000076,47,14,22,7
OFF-AR-10000077,23,17,27,10
OFF-AR-10000078,85,9,14,5
OFF-FA-10000079,91,7,10,3
OFF-AR-10000080,109,9,13,5
FUR-CH-10000081,70,9,14,5
OFF-FA-10000082,42,9,14,5
OFF-AP-10000083,95,13,20,7
FUR-BO-10000084,24,16,25,10
TEC-AC-10000085,6,6,9,3
FUR-TA-10000086,98,9,14,5
FUR-BO-10000087,29,7,10,3
OFF-AR-10000088,6,6,9,3
OFF-BI-10000089,58,17,27,10
TEC-MA-10000090,98,14,22,7
OFF-PA-10000091,13,10,15,5
FUR-BO-10000092,100,7,10,3
FUR-CH-10000093,114,16,25,10
OFF-AP-10000094,113,9,14,5
FUR-BO-10000095,100,10,15,5
TEC-MA-10000096,4,9,14,5
TEC-MA-10000097,14,13,20,7
OFF-AP-10000098,41,6,9,3
TEC-PH-10000099,75,6,9,3
TEC-CO-10000100,119,17,27,10
OFF-FA-10000101,10,9,14,5
OFF-FA-10000102,14,13,20,7
TEC-CO-10000103,50,10,15,5
OFF-AP-10000104,7,6,9,3
OFF-BI-10000105,49,10,15,5
TEC-CO-10000106,60,6,9,3
TEC-MA-10000107,10,10,15,5
TEC-CO-10000108,112,19,30,10
TEC-CO-10000109,106,13,20,7
TEC-CO-10000110,83,7,10,3
FUR-CH-10000111,9,9,14,5
OFF-FA-10000112,91,7,10,3
OFF-AR-10000113,106,9,13,5
OFF-AR-10000114,105,13,20,7
FUR-BO-10000115,62,10,15,5
FUR-TA-10000116,94,12,19,7
FUR-FU-10000117,104,14,22,7
OFF-AP-10000118,30,6,9,3
TEC-AC-10000119,95,17,27,10
OFF-AR-10000120,47,6,9,3
OFF-AR-10000121,67,19,30,10
FUR-FU-10000122,15,13,20,7
TEC-MA-10000123,31,10,15,5
FUR-CH-10000124,58,6,9,3
OFF-PA-10000125,100,6,9,3
TEC-MA-10000126,26,18,29,10
FUR-CH-10000127,19,12,19,7
TEC-CO-10000128,10,10,15,5
TEC-MA-10000129,110,17,27,10
TEC-AC-10000130,102,6,9,3
TEC-AC-10000131,10,10,15,5
TEC-CO-10000132,71,18,29,10
TEC-AC-10000133,13,9,14,5
OFF-AP-10000134,100,17,27,10
FUR-FU-10000135,110,13,20,7
FUR-BO-10000136,73,6,9,3
FUR-BO-10000137,73,7,10,3
TEC-AC-10000138,54,19,30,10
TEC-CO-10000139,9,9,14,5
OFF-FA-10000140,119,13,20,7
OFF-PA-10000141,94,6,9,3
OFF-BI-10000142,26,6,9,3
FUR-BO-10000143,10,7,10,3
FUR-FU-10000144,78,6,9,3
OFF-AP-10000145,129,18,29,10
TEC-AC-10000146,18,17,27,10
TEC-PH-10000147,94,17,27,10
TEC-MA-10000148,45,17,27,10
OFF-AR-10000149,82,6,9,3
FUR-FU-10000150,69,12,19,7
OFF-PA-10000151,19,17,27,10
FUR-TA-10000152,50,10,15,5
FUR-BO-10000153,90,10,15,5
OFF-FA-10000154,55,12,19,7
FUR-TA-10000155,8,7,10,3
OFF-AP-10000156,107,19,30,10
TEC-CO-10000157,28,10,15,5
FUR-TA-10000158,105,13,20,7
TEC-CO-10000159,5,18,28,10
TEC-CO-10000160,70,18,29,10
OFF-AP-10000161,126,18,28,10
OFF-AR-10000162,64,6,9,3
FUR-FU-10000163,120,13,20,7
TEC-AC-10000164,25,6,9,3
FUR-FU-10000165,22,17,27,10
OFF-BI-10000166,119,12,19,7
FUR-TA-10000167,107,12,18,7
FUR-FU-10000168,38,18,28,10
FUR-CH-10000169,15,13,20,7
FUR-BO-10000170,21,18,29,10
OFF-PA-10000171,57,9,14,5
FUR-BO-10000172,7,6,9,3
FUR-BO-10000173,67,13,20,7
TEC-MA-10000174,31,13,20,7
OFF-AR-10000175,113,10,15,5
FUR-TA-10000176,66,17,27,10
OFF-PA-10000177,57,17,27,10
TEC-PH-10000178,23,6,9,3
FUR-CH-10000179,84,20,32,10
OFF-BI-10000180,16,13,20,7
FUR-CH-10000181,19,13,20,7
OFF-BI-10000182,115,13,20,7
OFF-AR-10000183,43,6,8,3
TEC-PH-10000184,18,18,29,10
OFF-FA-10000185,28,9,14,5
FUR-TA-10000186,41,9,14,5
FUR-FU-10000187,89,10,15,5
TEC-AC-10000188,3,9,14,5
TEC-CO-10000189,73,6,9,3
OFF-FA-10000190,15,13,20,7
TEC-CO-10000191,6,6,9,3
FUR-FU-10000192,13,13,20,7
FUR-BO-10000193,64,19,30,10
OFF-AR-10000194,33,10,15,5
FUR-FU-10000195,69,9,13,5
OFF-FA-10000196,71,12,19,7
OFF-FA-10000197,46,12,19,7
FUR-TA-10000198,14,14,22,7
OFF-FA-10000199,105,12,19,7
